GAMEINIT
  BUILDINGS
    BUILDING_LABEL "E(Building)C(Budova)"
      SHAPE 29   -3 -3  -2 -3  -3 -2  -2 -2  -1 -2  -3 -1  -2 -1  -1 -1  0 -1  1 -1  2 -1  -3 0  -2 0  -1 0  0 0  1 0  2 0  3 0  -2 1  -1 1  0 1  1 1  2 1  3 1  1 2  2 2  3 2  2 3  3 3
      FLEK_TYPE  2 
      ENTRANCES 3   -1 -3  0 -2  1 -2
      IDENT a-bridgeupg
      TECHNOLOGY 0 
    BUILDING  50 
      NAME "E(Ar. fully upgraded lab)C(Ar. specializovaná laboratoø)"
      NATION  2 
      KIND  8 
      OIL  0 
      SIBERIUM  0 
      CANS  20 
      TIME  55 
      POWER  30 
      ATTACK  0 
      DEFENSE  60 
      HUMANS  6 
      OBSTACLE  0 
      SHAPE 29   -3 -3  -2 -3  -3 -2  -2 -2  -1 -2  -3 -1  -2 -1  -1 -1  0 -1  1 -1  2 -1  -3 0  -2 0  -1 0  0 0  1 0  2 0  3 0  -2 1  -1 1  0 1  1 1  2 1  3 1  1 2  2 2  3 2  2 3  3 3
      FLEK_TYPE  2 
      ENTRANCES 3   -1 -3  0 -2  1 -2
      IDENT a-bridgeupg
      TECHNOLOGY 0 
    BUILDING  51 
      NAME "E(Ar. basic lab)C(Ar. základní laboratoø)"
      NATION  2 
      KIND  9 
      OIL  0 
      SIBERIUM  0 
      CANS  20 
      TIME  55 
      POWER  0 
      ATTACK  0 
      DEFENSE  40 
      HUMANS  0 
      OBSTACLE  0 
      SHAPE 29   -3 -3  -2 -3  -3 -2  -2 -2  -1 -2  -3 -1  -2 -1  -1 -1  0 -1  1 -1  2 -1  -3 0  -2 0  -1 0  0 0  1 0  2 0  3 0  -2 1  -1 1  0 1  1 1  2 1  3 1  1 2  2 2  3 2  2 3  3 3
      FLEK_TYPE  2 
      ENTRANCES 3   -1 -3  0 -2  1 -2
      IDENT a-basiclab
      TECHNOLOGY 0 
    BUILDING  52 
      NAME "E(Ar. weapon lab)C(Ar. zbraòová laboratoø)"
      NATION  2 
      KIND  10 
      OIL  0 
      SIBERIUM  0 
      CANS  45 
      TIME  55 
      POWER  20 
      ATTACK  0 
      DEFENSE  60 
      HUMANS  0 
      OBSTACLE  0 
      SHAPE 29   -3 -3  -2 -3  -3 -2  -2 -2  -1 -2  -3 -1  -2 -1  -1 -1  0 -1  1 -1  2 -1  -3 0  -2 0  -1 0  0 0  1 0  2 0  3 0  -2 1  -1 1  0 1  1 1  2 1  3 1  1 2  2 2  3 2  2 3  3 3
      FLEK_TYPE  2 
      ENTRANCES 3   -1 -3  0 -2  1 -2
      IDENT a-weaponlab
      TECHNOLOGY 0 
    BUILDING  53 
      NAME "E(Ar. siberite lab)C(Ar. siberiová laboratoø)"
      NATION  2 
      KIND  11 
      OIL  0 
      SIBERIUM  5 
      CANS  25 
      TIME  110 
      POWER  30 
      ATTACK  0 
      DEFENSE  60 
      HUMANS  0 
      OBSTACLE  0 
      SHAPE 29   -3 -3  -2 -3  -3 -2  -2 -2  -1 -2  -3 -1  -2 -1  -1 -1  0 -1  1 -1  2 -1  -3 0  -2 0  -1 0  0 0  1 0  2 0  3 0  -2 1  -1 1  0 1  1 1  2 1  3 1  1 2  2 2  3 2  2 3  3 3
      FLEK_TYPE  2 
      ENTRANCES 3   -1 -3  0 -2  1 -2
      IDENT a-siberiumlab
      TECHNOLOGY 0 
    BUILDING  54 
      NAME "E(Ar. biological lab)C(Ar. biologická laboratoø)"
      NATION  2 
      KIND  13 
      OIL  0 
      SIBERIUM  0 
      CANS  20 
      TIME  110 
      POWER  20 
      ATTACK  0 
      DEFENSE  60 
      HUMANS  0 
      OBSTACLE  0 
      SHAPE 29   -3 -3  -2 -3  -3 -2  -2 -2  -1 -2  -3 -1  -2 -1  -1 -1  0 -1  1 -1  2 -1  -3 0  -2 0  -1 0  0 0  1 0  2 0  3 0  -2 1  -1 1  0 1  1 1  2 1  3 1  1 2  2 2  3 2  2 3  3 3
      FLEK_TYPE  2 
      ENTRANCES 3   -1 -3  0 -2  1 -2
      IDENT a-biologicallab
      TECHNOLOGY 0 
    BUILDING  55 
      NAME "E(Ar. opto lab )C(Ar. opto lab )"
      NATION  2 
      KIND  15 
      OIL  0 
      SIBERIUM  0 
      CANS  20 
      TIME  55 
      POWER  20 
      ATTACK  0 
      DEFENSE  60 
      HUMANS  0 
      OBSTACLE  0 
      SHAPE 29   -3 -3  -2 -3  -3 -2  -2 -2  -1 -2  -3 -1  -2 -1  -1 -1  0 -1  1 -1  2 -1  -3 0  -2 0  -1 0  0 0  1 0  2 0  3 0  -2 1  -1 1  0 1  1 1  2 1  3 1  1 2  2 2  3 2  2 3  3 3
      FLEK_TYPE  2 
      ENTRANCES 3   -1 -3  0 -2  1 -2
      IDENT a-optolab
      TECHNOLOGY 0 
    BUILDING  56 
      NAME "E(Ar. oil power plant)C(Ar. naftová elektrárna)"
      NATION  2 
      KIND  26 
      OIL  0 
      SIBERIUM  0 
      CANS  20 
      TIME  55 
      POWER -30 
      ATTACK  0 
      DEFENSE  40 
      HUMANS  0 
      OBSTACLE  0 
      SHAPE 7   -1 -1  0 -1  -1 0  0 0  1 0  0 1  1 1
      FLEK_TYPE  1 
      ENTRANCES  0 
      IDENT a-oilpower
      TECHNOLOGY 46 
    BUILDING  57 
      NAME "E(Ar. solar power plant)C(Ar. sluneèní elektrárna)"
      NATION  2 
      KIND  27 
      OIL  0 
      SIBERIUM  0 
      CANS  25 
      TIME  85 
      POWER -15 
      ATTACK  0 
      DEFENSE  35 
      HUMANS  0 
      OBSTACLE  1 
      SHAPE 7   -1 -1  0 -1  -1 0  0 0  1 0  0 1  1 1
      FLEK_TYPE  1 
      ENTRANCES  0 
      IDENT a-solarpower
      TECHNOLOGY 35 
    BUILDING  58 
      NAME "E(Ar. siberite power plant)C(Ar. siberiová elektrárna)"
      NATION  2 
      KIND  28 
      OIL  0 
      SIBERIUM  20 
      CANS  20 
      TIME  110 
      POWER -60 
      ATTACK  0 
      DEFENSE  45 
      HUMANS  0 
      OBSTACLE  0 
      SHAPE 7   -1 -1  0 -1  -1 0  0 0  1 0  0 1  1 1
      FLEK_TYPE  1 
      ENTRANCES  0 
      IDENT a-siberiumpower
      TECHNOLOGY 21 
    BUILDING  59 
      NAME "E(Ar. oil drilling tower)C(Ar. ropná tìžební vìž)"
      NATION  2 
      KIND  29 
      OIL  0 
      SIBERIUM  0 
      CANS  10 
      TIME  55 
      POWER  0 
      ATTACK  0 
      DEFENSE  55 
      HUMANS  0 
      OBSTACLE  1 
      SHAPE 7   -1 -1  0 -1  -1 0  0 0  1 0  0 1  1 1
      FLEK_TYPE  1 
      ENTRANCES  0 
      IDENT a-oilmine
      TECHNOLOGY 0 
    BUILDING  60 
      NAME "E(Ar. siberite mine)C(Ar. siberitový dùl)"
      NATION  2 
      KIND  30 
      OIL  0 
      SIBERIUM  0 
      CANS  10 
      TIME  55 
      POWER  0 
      ATTACK  0 
      DEFENSE  40 
      HUMANS  0 
      OBSTACLE  0 
      SHAPE 7   -1 -1  0 -1  -1 0  0 0  1 0  0 1  1 1
      FLEK_TYPE  1 
      ENTRANCES  0 
      IDENT a-siberiummine
      TECHNOLOGY 20 
    BUILDING  61 
      NAME "E(Ar. bunker)C(Ar. bunkr)"
      NATION  2 
      KIND  31 
      OIL  0 
      SIBERIUM  0 
      CANS  10 
      TIME  30 
      POWER  0 
      ATTACK  0 
      DEFENSE  45 
      HUMANS  1 
      OBSTACLE  1 
      SHAPE 7   -1 -1  0 -1  -1 0  0 0  1 0  0 1  1 1
      FLEK_TYPE  1 
      ENTRANCES 3   -1 -2  0 -2  1 -1
      IDENT a-breastworks
      TECHNOLOGY 0 
    BUILDING  62 
      NAME "E(Ar. manual turret)C(Ar. obranná vìž)"
      NATION  2 
      KIND  32 
      OIL  0 
      SIBERIUM  0 
      CANS  20 
      TIME  55 
      POWER  15 
      ATTACK  0 
      DEFENSE  70 
      HUMANS  1 
      OBSTACLE  1 
      SHAPE 7   -1 -1  0 -1  -1 0  0 0  1 0  0 1  1 1
      FLEK_TYPE  1 
      ENTRANCES 3   -1 -2  0 -2  1 -1
      IDENT a-bunker
      TECHNOLOGY 0 
    BUILDING  63 
      NAME "E(Ar. fort)C(Ar. pevnost)"
      NATION  2 
      KIND  35 
      OIL  0 
      SIBERIUM  0 
      CANS  900 
      TIME  550 
      POWER  0 
      ATTACK 0 ATTACK_VLADA MINMAX_RANGE 1 11  DAMAGE 20 20 20  FREQUENCY 40 60  EFF 30 10 6  ANIM 2 1 2 END_OF_ATTACK
      DEFENSE  135 
      HUMANS  5 
      OBSTACLE  0 
      SHAPE 19   -2 -2  -1 -2  0 -2  -2 -1  -1 -1  0 -1  1 -1  -2 0  -1 0  0 0  1 0  2 0  -1 1  0 1  1 1  2 1  0 2  1 2  2 2
      FLEK_TYPE  2 
      ENTRANCES 3   -1 -3  0 -3  1 -2
      IDENT a-barracks
      TECHNOLOGY 0 
    BUILDING  64 
      NAME "E(Ru. depot)C(Ru. skladištì)"
      NATION  3 
      KIND  0 
      OIL  0 
      SIBERIUM  0 
      CANS  0 
      TIME  165 
      POWER  0 
      ATTACK  0 
      DEFENSE  100 
      HUMANS  6 
      OBSTACLE  0 
      SHAPE 23   -2 -3  -1 -3  -2 -2  -1 -2  0 -2  1 -2  -2 -1  -1 -1  0 -1  1 -1  2 -1  -2 0  -1 0  0 0  1 0  2 0  -1 1  0 1  1 1  2 1  0 2  1 2  2 2
      FLEK_TYPE  2 
      ENTRANCES 3   -1 -4  0 -3  1 -3
      IDENT r-depot
      UPGRADED_TO  1 
      TECHNOLOGY 0 
    BUILDING  65 
      NAME "E(Ru. warehouse)C(Ru. velkosklad)"
      NATION  3 
      KIND  1 
      OIL  0 
      SIBERIUM  0 
      CANS  20 
      TIME  65 
      POWER  0 
      ATTACK  0 
      DEFENSE  165 
      HUMANS  6 
      OBSTACLE  0 
      SHAPE 23   -2 -3  -1 -3  -2 -2  -1 -2  0 -2  1 -2  -2 -1  -1 -1  0 -1  1 -1  2 -1  -2 0  -1 0  0 0  1 0  2 0  -1 1  0 1  1 1  2 1  0 2  1 2  2 2
      FLEK_TYPE  2 
      ENTRANCES 3   -1 -4  0 -3  1 -3
      IDENT r-warehouse
      TECHNOLOGY 0 
    BUILDING  66 
      NAME "E(Ru. armoury)C(Ru. zbrojnice)"
      NATION  3 
      KIND  4 
      OIL  0 
      SIBERIUM  0 
      CANS  30 
      TIME  65 
      POWER  0 
      ATTACK  0 
      DEFENSE  85 
      HUMANS  6 
      OBSTACLE  0 
      SHAPE 19   -2 -2  -1 -2  0 -2  -2 -1  -1 -1  0 -1  1 -1  -2 0  -1 0  0 0  1 0  2 0  -1 1  0 1  1 1  2 1  0 2  1 2  2 2
      FLEK_TYPE  2 
      ENTRANCES 3   -1 -3  0 -3  1 -2
      IDENT r-armoury
      UPGRADED_TO  5 
      TECHNOLOGY 0 
    BUILDING  67 
      NAME "E(Ru. barracks)C(Ru. kasárna)"
      NATION  3 
      KIND  5 
      OIL  0 
      SIBERIUM  0 
      CANS  30 
      TIME  35 
      POWER  0 
      ATTACK  0 
      DEFENSE  125 
      HUMANS  6 
      OBSTACLE  0 
      SHAPE 19   -2 -2  -1 -2  0 -2  -2 -1  -1 -1  0 -1  1 -1  -2 0  -1 0  0 0  1 0  2 0  -1 1  0 1  1 1  2 1  0 2  1 2  2 2
      FLEK_TYPE  2 
      ENTRANCES 3   -1 -3  0 -3  1 -2
      IDENT r-barracks
      TECHNOLOGY 0 
    BUILDING  68 
      NAME "E(Ru. workshop)C(Ru. dílna)"
      NATION  3 
      KIND  2 
      OIL  0 
      SIBERIUM  0 
      CANS  40 
      TIME  130 
      POWER  0 
      ATTACK  0 
      DEFENSE  65 
      HUMANS  6 
      OBSTACLE  0 
      SHAPE 23   -2 -3  -3 -2  -2 -2  -1 -2  0 -2  -2 -1  -1 -1  0 -1  1 -1  2 -1  -1 0  0 0  1 0  2 0  -1 1  0 1  1 1  2 1  3 1  -1 2  0 2  1 2  1 3
      FLEK_TYPE  2 
      ENTRANCES 3   -1 -3  0 -3  1 -2
      IDENT r-workshop
      UPGRADED_TO  3 
      TECHNOLOGY 0 
    BUILDING  69 
      NAME "E(Ru. factory)C(Ru. továrna)"
      NATION  3 
      KIND  3 
      OIL  0 
      SIBERIUM  0 
      CANS  40 
      TIME  130 
      POWER  30 
      ATTACK  0 
      DEFENSE  100 
      HUMANS  6 
      OBSTACLE  0 
      SHAPE 23   -2 -3  -3 -2  -2 -2  -1 -2  0 -2  -2 -1  -1 -1  0 -1  1 -1  2 -1  -1 0  0 0  1 0  2 0  -1 1  0 1  1 1  2 1  3 1  -1 2  0 2  1 2  1 3
      FLEK_TYPE  2 
      ENTRANCES 3   -1 -3  0 -3  1 -2
      IDENT r-factory
      TECHNOLOGY 0 
    BUILDING  70 
      NAME "E(Ru. track ext.)C(Ru. pásový pøístavek)"
      NATION  3 
      KIND  16 
      OIL  0 
      SIBERIUM  0 
      CANS  30 
      TIME  35 
      POWER  5 
      ATTACK  0 
      DEFENSE  40 
      HUMANS  0 
      OBSTACLE  1 
      SHAPE 9   -2 -1  -1 -1  0 -1  -1 0  0 0  1 0  0 1  1 1  2 1
      FLEK_TYPE  1 
      ENTRANCES  0 
      IDENT r-trackext
      TECHNOLOGY 0 
    BUILDING  71 
      NAME "E(Ru. gun ext.)C(Ru. dìlový pøístavek)"
      NATION  3 
      KIND  17 
      OIL  0 
      SIBERIUM  0 
      CANS  30 
      TIME  50 
      POWER  5 
      ATTACK  0 
      DEFENSE  40 
      HUMANS  0 
      OBSTACLE  1 
      SHAPE 9   -2 -1  -1 -1  0 -1  -1 0  0 0  1 0  0 1  1 1  2 1
      FLEK_TYPE  1 
      ENTRANCES  0 
      IDENT r-gunext
      TECHNOLOGY 39 
    BUILDING  72 
      NAME "E(Ru. rocket ext.)C(Ru. raketový pøístavek)"
      NATION  3 
      KIND  18 
      OIL  0 
      SIBERIUM  0 
      CANS  30 
      TIME  65 
      POWER  5 
      ATTACK  0 
      DEFENSE  40 
      HUMANS  0 
      OBSTACLE  1 
      SHAPE 9   -2 -1  -1 -1  0 -1  -1 0  0 0  1 0  0 1  1 1  2 1
      FLEK_TYPE  1 
      ENTRANCES  0 
      IDENT r-rocketext
      TECHNOLOGY 40 
    BUILDING  73 
      NAME "E(Ru. non-combat ext.)C(Ru. nebojový pøístavek)"
      NATION  3 
      KIND  19 
      OIL  0 
      SIBERIUM  0 
      CANS  30 
      TIME  35 
      POWER  5 
      ATTACK  0 
      DEFENSE  40 
      HUMANS  0 
      OBSTACLE  1 
      SHAPE 9   -2 -1  -1 -1  0 -1  -1 0  0 0  1 0  0 1  1 1  2 1
      FLEK_TYPE  1 
      ENTRANCES  0 
      IDENT r-non-combatext
      TECHNOLOGY 0 
    BUILDING  75 
      NAME "E(Ru. siberite ext.)C(Ru. siberitový pøístavek)"
      NATION  3 
      KIND  21 
      OIL  0 
      SIBERIUM  10 
      CANS  30 
      TIME  100 
      POWER  10 
      ATTACK  0 
      DEFENSE  40 
      HUMANS  0 
      OBSTACLE  1 
      SHAPE 9   -2 -1  -1 -1  0 -1  -1 0  0 0  1 0  0 1  1 1  2 1
      FLEK_TYPE  1 
      ENTRANCES  0 
      IDENT r-siberiumext
      TECHNOLOGY 21 
    BUILDING  76 
      NAME "E(Ru. computer ext.)C(Ru. poèítaèový pøístavek)"
      NATION  3 
      KIND  24 
      OIL  0 
      SIBERIUM  0 
      CANS  15 
      TIME  195 
      POWER  10 
      ATTACK  0 
      DEFENSE  40 
      HUMANS  0 
      OBSTACLE  1 
      SHAPE 9   -2 -1  -1 -1  0 -1  -1 0  0 0  1 0  0 1  1 1  2 1
      FLEK_TYPE  1 
      ENTRANCES  0 
      IDENT r-computerext
      TECHNOLOGY 27 
    BUILDING  77 
      NAME "E(Ru. basic lab)C(Ru. základní laboratoø)"
      NATION  3 
      KIND  6 
      OIL  0 
      SIBERIUM  0 
      CANS  20 
      TIME  65 
      POWER  0 
      ATTACK  0 
      DEFENSE  50 
      HUMANS  6 
      OBSTACLE  0 
      SHAPE 29   -3 -3  -2 -3  -3 -2  -2 -2  -1 -2  -3 -1  -2 -1  -1 -1  0 -1  1 -1  2 -1  -3 0  -2 0  -1 0  0 0  1 0  2 0  3 0  -2 1  -1 1  0 1  1 1  2 1  3 1  1 2  2 2  3 2  2 3  3 3
      FLEK_TYPE  2 
      ENTRANCES 3   -1 -3  0 -2  1 -2
      IDENT r-bridgebasic
      UPGRADED_TO  7 
      TECHNOLOGY 0 
    BUILDING  78 
      NAME "E(Ru. half-upgraded lab)C(Ru. èásteènì specializovaná lab.)"
      NATION  3 
      KIND  7 
      OIL  0 
      SIBERIUM  0 
      CANS  20 
      TIME  65 
      POWER  20 
      ATTACK  0 
      DEFENSE  65 
      HUMANS  6 
      OBSTACLE  0 
      SHAPE 29   -3 -3  -2 -3  -3 -2  -2 -2  -1 -2  -3 -1  -2 -1  -1 -1  0 -1  1 -1  2 -1  -3 0  -2 0  -1 0  0 0  1 0  2 0  3 0  -2 1  -1 1  0 1  1 1  2 1  3 1  1 2  2 2  3 2  2 3  3 3
      FLEK_TYPE  2 
      ENTRANCES 3   -1 -3  0 -2  1 -2
      IDENT r-bridgeupg
      TECHNOLOGY 0 
    BUILDING  79 
      NAME "E(Ru. fully upgraded lab)C(Ru. specializovaná laboratoø)"
      NATION  3 
      KIND  8 
      OIL  0 
      SIBERIUM  0 
      CANS  20 
      TIME  65 
      POWER  30 
      ATTACK  0 
      DEFENSE  75 
      HUMANS  6 
      OBSTACLE  0 
      SHAPE 29   -3 -3  -2 -3  -3 -2  -2 -2  -1 -2  -3 -1  -2 -1  -1 -1  0 -1  1 -1  2 -1  -3 0  -2 0  -1 0  0 0  1 0  2 0  3 0  -2 1  -1 1  0 1  1 1  2 1  3 1  1 2  2 2  3 2  2 3  3 3
      FLEK_TYPE  2 
      ENTRANCES 3   -1 -3  0 -2  1 -2
      IDENT r-bridgeupg
      TECHNOLOGY 0 
    BUILDING  80 
      NAME "E(Ru. basic lab)C(Ru. základní laboratoø)"
      NATION  3 
      KIND  9 
      OIL  0 
      SIBERIUM  0 
      CANS  20 
      TIME  65 
      POWER  0 
      ATTACK  0 
      DEFENSE  50 
      HUMANS  0 
      OBSTACLE  0 
      SHAPE 29   -3 -3  -2 -3  -3 -2  -2 -2  -1 -2  -3 -1  -2 -1  -1 -1  0 -1  1 -1  2 -1  -3 0  -2 0  -1 0  0 0  1 0  2 0  3 0  -2 1  -1 1  0 1  1 1  2 1  3 1  1 2  2 2  3 2  2 3  3 3
      FLEK_TYPE  2 
      ENTRANCES 3   -1 -3  0 -2  1 -2
      IDENT r-basiclab
      TECHNOLOGY 0 
    BUILDING  81 
      NAME "E(Ru. weapon lab)C(Ru. zbraòová laboratoø)"
      NATION  3 
      KIND  10 
      OIL  0 
      SIBERIUM  0 
      CANS  50 
      TIME  65 
      POWER  20 
      ATTACK  0 
      DEFENSE  75 
      HUMANS  0 
      OBSTACLE  0 
      SHAPE 29   -3 -3  -2 -3  -3 -2  -2 -2  -1 -2  -3 -1  -2 -1  -1 -1  0 -1  1 -1  2 -1  -3 0  -2 0  -1 0  0 0  1 0  2 0  3 0  -2 1  -1 1  0 1  1 1  2 1  3 1  1 2  2 2  3 2  2 3  3 3
      FLEK_TYPE  2 
      ENTRANCES 3   -1 -3  0 -2  1 -2
      IDENT r-weaponlab
      TECHNOLOGY 0 
    BUILDING  82 
      NAME "E(Ru. siberite lab)C(Ru. siberiová laboratoø)"
      NATION  3 
      KIND  11 
      OIL  0 
      SIBERIUM  5 
      CANS  30 
      TIME  130 
      POWER  30 
      ATTACK  0 
      DEFENSE  75 
      HUMANS  0 
      OBSTACLE  0 
      SHAPE 29   -3 -3  -2 -3  -3 -2  -2 -2  -1 -2  -3 -1  -2 -1  -1 -1  0 -1  1 -1  2 -1  -3 0  -2 0  -1 0  0 0  1 0  2 0  3 0  -2 1  -1 1  0 1  1 1  2 1  3 1  1 2  2 2  3 2  2 3  3 3
      FLEK_TYPE  2 
      ENTRANCES 3   -1 -3  0 -2  1 -2
      IDENT r-siberiumlab
      TECHNOLOGY 0 
    BUILDING  83 
      NAME "E(Ru. computer lab)C(Ru. poèítaèová laboratoø)"
      NATION  3 
      KIND  12 
      OIL  0 
      SIBERIUM  0 
      CANS  20 
      TIME  130 
      POWER  20 
      ATTACK  0 
      DEFENSE  75 
      HUMANS  0 
      OBSTACLE  0 
      SHAPE 29   -3 -3  -2 -3  -3 -2  -2 -2  -1 -2  -3 -1  -2 -1  -1 -1  0 -1  1 -1  2 -1  -3 0  -2 0  -1 0  0 0  1 0  2 0  3 0  -2 1  -1 1  0 1  1 1  2 1  3 1  1 2  2 2  3 2  2 3  3 3
      FLEK_TYPE  2 
      ENTRANCES 3   -1 -3  0 -2  1 -2
      IDENT r-computerlab
      TECHNOLOGY 0 
    BUILDING  84 
      NAME "E(Ru. space-time lab)C(Ru. èasoprostorová laboratoø)"
      NATION  3 
      KIND  14 
      OIL  0 
      SIBERIUM  10 
      CANS  20 
      TIME  65 
      POWER  30 
      ATTACK  0 
      DEFENSE  75 
      HUMANS  0 
      OBSTACLE  0 
      SHAPE 29   -3 -3  -2 -3  -3 -2  -2 -2  -1 -2  -3 -1  -2 -1  -1 -1  0 -1  1 -1  2 -1  -3 0  -2 0  -1 0  0 0  1 0  2 0  3 0  -2 1  -1 1  0 1  1 1  2 1  3 1  1 2  2 2  3 2  2 3  3 3
      FLEK_TYPE  2 
      ENTRANCES 3   -1 -3  0 -2  1 -2
      IDENT r-spacetimelab
      TECHNOLOGY 0 
    BUILDING  85 
      NAME "E(Ru. oil power plant)C(Ru. naftová elektrárna)"
      NATION  3 
      KIND  26 
      OIL  0 
      SIBERIUM  0 
      CANS  20 
      TIME  65 
      POWER -30 
      ATTACK  0 
      DEFENSE  50 
      HUMANS  0 
      OBSTACLE  0 
      SHAPE 7   -1 -1  0 -1  -1 0  0 0  1 0  0 1  1 1
      FLEK_TYPE  1 
      ENTRANCES  0 
      IDENT r-oilpower
      TECHNOLOGY 46 
    BUILDING  86 
      NAME "E(Ru. siberite power plant)C(Ru. siberiová elektrárna)"
      NATION  3 
      KIND  28 
      OIL  0 
      SIBERIUM  20 
      CANS  20 
      TIME  130 
      POWER -60 
      ATTACK  0 
      DEFENSE  60 
      HUMANS  0 
      OBSTACLE  0 
      SHAPE 7   -1 -1  0 -1  -1 0  0 0  1 0  0 1  1 1
      FLEK_TYPE  1 
      ENTRANCES  0 
      IDENT r-siberiumpower
      TECHNOLOGY 21 
    BUILDING  87 
      NAME "E(Ru. oil drilling tower)C(Ru. ropná tìžební vìž)"
      NATION  3 
      KIND  29 
      OIL  0 
      SIBERIUM  0 
      CANS  10 
      TIME  65 
      POWER  0 
      ATTACK  0 
      DEFENSE  65 
      HUMANS  0 
      OBSTACLE  1 
      SHAPE 7   -1 -1  0 -1  -1 0  0 0  1 0  0 1  1 1
      FLEK_TYPE  1 
      ENTRANCES  0 
      IDENT r-oilmine
      TECHNOLOGY 0 
    BUILDING  88 
      NAME "E(Ru. siberite mine)C(Ru. siberitový dùl)"
      NATION  3 
      KIND  30 
      OIL  0 
      SIBERIUM  0 
      CANS  10 
      TIME  65 
      POWER  0 
      ATTACK  0 
      DEFENSE  50 
      HUMANS  0 
      OBSTACLE  0 
      SHAPE 7   -1 -1  0 -1  -1 0  0 0  1 0  0 1  1 1
      FLEK_TYPE  1 
      ENTRANCES  0 
      IDENT r-siberiummine
      TECHNOLOGY 20 
    BUILDING  89 
      NAME "E(Ru. bunker)C(Ru. bunkr)"
      NATION  3 
      KIND  31 
      OIL  0 
      SIBERIUM  0 
      CANS  10 
      TIME  35 
      POWER  0 
      ATTACK  0 
      DEFENSE  60 
      HUMANS  1 
      OBSTACLE  1 
      SHAPE 7   -1 -1  0 -1  -1 0  0 0  1 0  0 1  1 1
      FLEK_TYPE  1 
      ENTRANCES 3   -1 -2  0 -2  1 -1
      IDENT r-breastworks
      TECHNOLOGY 0 
    BUILDING  90 
      NAME "E(Ru. manual turret)C(Ru. obranná vìž)"
      NATION  3 
      KIND  32 
      OIL  0 
      SIBERIUM  0 
      CANS  20 
      TIME  65 
      POWER  15 
      ATTACK  0 
      DEFENSE  85 
      HUMANS  1 
      OBSTACLE  1 
      SHAPE 7   -1 -1  0 -1  -1 0  0 0  1 0  0 1  1 1
      FLEK_TYPE  1 
      ENTRANCES 3   -1 -2  0 -2  1 -1
      IDENT r-bunker
      TECHNOLOGY 0 
    BUILDING  91 
      NAME "E(Ru. automatic turret)C(Ru. automatická vìž)"
      NATION  3 
      KIND  33 
      OIL  0 
      SIBERIUM  0 
      CANS  20 
      TIME  130 
      POWER  20 
      ATTACK  0 
      DEFENSE  85 
      HUMANS  0 
      OBSTACLE  1 
      SHAPE 7   -1 -1  0 -1  -1 0  0 0  1 0  0 1  1 1
      FLEK_TYPE  1 
      ENTRANCES 3   -1 -2  0 -2  1 -1
      IDENT r-automaticturret
      TECHNOLOGY 32 
    BUILDING  92 
      NAME "E(Ru. teleport)C(Ru. teleport)"
      NATION  3 
      KIND  34 
      OIL  0 
      SIBERIUM  30 
      CANS  10 
      TIME  65 
      POWER  0 
      ATTACK  0 
      DEFENSE  65 
      HUMANS  0 
      OBSTACLE  1 
      SHAPE 11   -2 -2  -2 -1  -1 -1  -2 0  -1 0  0 0  1 0  2 0  1 1  2 1  2 2
      FLEK_TYPE  1 
      ENTRANCES 2   0 -1  0 1
      IDENT r-teleport
      TECHNOLOGY 38 
    BUILDING  93 
      NAME "E(Ru. fort)C(Ru. pevnost)"
      NATION  3 
      KIND  35 
      OIL  0 
      SIBERIUM  0 
      CANS  1000 
      TIME  650 
      POWER  0 
      ATTACK 0 ATTACK_VLADA MINMAX_RANGE 1 11  DAMAGE 20 20 20  FREQUENCY 40 60  EFF 30 10 6  ANIM 2 1 2 END_OF_ATTACK
      DEFENSE  165 
      HUMANS  6 
      OBSTACLE  0 
      SHAPE 19   -2 -2  -1 -2  0 -2  -2 -1  -1 -1  0 -1  1 -1  -2 0  -1 0  0 0  1 0  2 0  -1 1  0 1  1 1  2 1  0 2  1 2  2 2
      FLEK_TYPE  2 
      ENTRANCES 3   -1 -3  0 -3  1 -2
      IDENT r-barracks
      TECHNOLOGY 0 
    BUILDING  74 
      NAME "E(Ru. Behemoth)C(Ru. Behemot)"
      NATION  3 
      KIND  37 
      OIL  0 
      SIBERIUM  50 
      CANS  250 
      TIME  400 
      POWER  0 
      ATTACK  0 
      DEFENSE  100 
      HUMANS  0 
      OBSTACLE  0 
      SHAPE 19   -2 -2  -1 -2  0 -2  -2 -1  -1 -1  0 -1  1 -1  -2 0  -1 0  0 0  1 0  2 0  -1 1  0 1  1 1  2 1  0 2  1 2  2 2
      FLEK_TYPE  2 
      ENTRANCES 5   -3 -3  0 -3  -3 0  0 3  3 3
      IDENT r-behemoth
      TECHNOLOGY 23 
      REPAIR  120 
    BUILDING  120 
      NAME "E(Ru. wall)C(Ru. zeï)"
      NATION  3 
      KIND  40 
      OIL  0 
      SIBERIUM  0 
      CANS  20 
      TIME  120 
      POWER  0 
      ATTACK  0 
      DEFENSE  85 
      HUMANS  0 
      OBSTACLE  0 
      SHAPE 1   0 0
      FLEK_TYPE  1 
      ENTRANCES 1   0 -2
      IDENT wall
      TECHNOLOGY 0 
      SINGLEDIRECTION  1 
  END_OF_BUILDINGS
END_OF_GAMEINIT
